belboon productnumber	belboon programid	productnumber	EAN	productname	manufacturername	brandname	currentprice	oldprice	currency	validfrom	validuntil	deeplinkurl	basketurl	imagesmallurl	imagesmallheight	imagesmallwidth	imagebigurl	imagebigheight	imagebigwidth	productcategory	belboonproductcategory	productkeywords	productdescriptionshort	productdescriptionslong	lastupdate	shipping	availability	option1	option2	option3	option4	option5
14332_116938_300203037Speed	14332	300203037Speed		PUMA Schuhe Sneakers - damen woman Speed Cat L			99.5					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/sneakers-damen/puma-schuhe/speed-cat/puma-schuhe-woman-speed-cat-l-black.html		http://www.sneakerworld.de/media/images/puma_speed_cat_l_black_thb.jpg			http://www.sneakerworld.de/media/images/puma_speed_cat_l_black.jpg			puma top		Puma Schuhe Sneakers - damen woman Speed Cat versandkostenfrei im Online Shop	black / white		2009-09-22 14:26		3 Werktage	Puma Schuhe				
14332_116938_2742-002-20	14332	2742-002-20		Vagabond Damenschuhe Sandale Isolde schwarz			59					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/schuhe-damen/vagabond-schuhe-stiefel/vagabond-sandale-isolde-schwarz-black-echtleder.html		http://www.sneakerworld.de/media/images/vagabond-2742-002-20-thmb.jpg			http://www.sneakerworld.de/media/images/vagabond-2742-002-20.jpg			vagabond schuhe		Vagabond Damenschuhe Sandale Isolde schwarz Echtleder 2742-002-20 Online Shop	sportliche Sandale von Vagabond flacher Absatz schwarz Echtleder		2009-09-22 14:26		2-3 Werktage	Vagabond Damenschuhe				
14332_116938_5-5-22160-22-001	14332	5-5-22160-22-001		Comma Damenschuhe Pumps schwarz			79					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/schuhe-damen/comma-schuhe/comma-schuhe-damen-pumps-black-schwarz.html		http://www.sneakerworld.de/media/images/comma-5-5-22160-22-001-thmb.jpg			http://www.sneakerworld.de/media/images/comma-5-5-22160-22-001.jpg			comma schuhe		Comma Damenschuhe Pumps schwarz Online Shop	eleganter Damenschuh von Comma - Glattleder		2009-09-22 14:26		2-3 Werktage	Comma Damenschuhe				
14332_116938_06513202CampusR	14332	06513202CampusR		Puma Tasche Campus Reporter gold braun			49.9					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/taschen/taschen-puma/puma-tasche-campus-reporter-gold-braun.html		http://www.sneakerworld.de/media/images/puma-tasche-reporter-gold-bracken-brown-thmb.jpg			http://www.sneakerworld.de/media/images/puma-tasche-reporter-gold-bracken-brown.jpg			Taschen Puma		Puma Tasche Campus Reporter gold braun Online Shop	Puma Tasche mit Schultertragegurt		2009-09-22 14:26		2-3 Werktage	Puma Schuhe				
14332_116938_06544701	14332	06544701		Puma Tasche schwarz weiss			39.95					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/taschen/taschen-puma/puma-tasche-schwarz-weiss.html		http://www.sneakerworld.de/media/images/puma-tasche-black-whisper-white-klein-thmb.jpg			http://www.sneakerworld.de/media/images/puma-tasche-black-whisper-white-klein.jpg			Taschen Puma		Puma Tasche schwarz weiss Online Shop	Puma Tasche mit Schultertragegurt		2009-09-22 14:26		2-3 Werktage	Puma Schuhe				
14332_116938_BA2487-678	14332	BA2487-678		Nike Tasche Beach Large Shoulder rosa weiss rot gestreift			19.95					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/taschen/taschen-nike/nike-tasche-beach-large-shoulder-rosa-weiss-rot.html		http://www.sneakerworld.de/media/images/nike-tasche-rosa-weiss-rot-gestreift-thmb.jpg			http://www.sneakerworld.de/media/images/nike-tasche-rosa-weiss-rot-gestreift.jpg			Taschen Nike		Nike Tasche Beach Large Shoulder rosa weiss rot gestreift Online Shop	Nike Tasche Beach rosa weiss rot gestreift		2009-09-22 14:26		2-3 Werktage	NIKE Sneakers				
14332_116938_182522024WSokuto	14332	182522024WSokuto		PUMA Schuhe Sneakers - damen woman - Sokuto black			99.95					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/specials/reduziert-502/woman/puma-schuhe-woman-sukotu-black.html		http://www.sneakerworld.de/media/images/puma_sokuto_black_thb-3.jpg			http://www.sneakerworld.de/media/images/puma_sokuto_black.jpg			woman		Puma Schuhe Sneakers - Sokuto versandkostenfrei im Online Shop	black / black / puma gold		2009-09-22 14:26		3 Werktage	Puma Schuhe				
14332_116938_1627/68	14332	1627/68		Whos that girl Damenschuhe Pumps braun			89					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/schuhe-damen/whos-that-girl-schuhe/whos-that-girl-schuhe-damen-pumps-braun.html		http://www.sneakerworld.de/media/images/whos-that-girl-tasche-pumps-velour-thmb.jpg			http://www.sneakerworld.de/media/images/whos-that-girl-tasche-pumps-velour.jpg			whos that girl schuhe		Whos that girl Damenpumps in braun mit stylischem Absatz Online Shop	einzigartiger Pump von Whos that girl im 70s Style mit kleinem Absatz und einem Halteriemchen. Ideal fÃÂ¼r die warme Jahreszeit.		2009-09-22 14:26		2-3 Werktage	whos that girl Fashion				
14332_116938_5-5-22303-21	14332	5-5-22303-21		Comma Damenschuh woman Pumps schwarz			69.95					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/schuhe-damen/comma-schuhe/comma-damenschuh-woman-pumps-schwarz.html		http://www.sneakerworld.de/media/images/comma-pumps-black-5-5-22303-21-thmb.jpg			http://www.sneakerworld.de/media/images/comma-pumps-black-5-5-22303-21.jpg			comma schuhe		Comma Damenschuh woman Pumps schwarz Online Shop	eleganter Pump mit schmalem Absatz von Comma in schwarz		2009-09-22 14:26		2-3 Werktage	Comma Damenschuhe				
14332_116938_180082	14332	180082		Kultbag Tasche Nightlife rot weiss blau			94.9					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/taschen/taschen-kultbag/kultbag-tasche-nightlife-lkw-plane-rot-weiss-blau.html		http://www.sneakerworld.de/media/images/kultbag-tasche-51-thmb.jpg			http://www.sneakerworld.de/media/images/kultbag-tasche-51.jpg			Taschen Kultbag		Kultbag Tasche Nightlife rot weiss blau Online Shop	Tasche mit Becken- und Schultertragegurt von Kultbag aus LKW-Plane mit Aufdruck		2009-09-22 14:26		2-3 Werktage	Kultbag Bernd DÃÂ¶rr Recycling Taschen				
14332_116938_180099	14332	180099		Kultbag Tasche Nightlife `Huhn` blau grau			94.9					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/taschen/taschen-kultbag/kultbag-tasche-nightlife-lkw-plane-blau-grau-huhn.html		http://www.sneakerworld.de/media/images/kultbag_huhn_blau_180099_thmb.jpg			http://www.sneakerworld.de/media/images/kultbag_huhn_blau_180099.jpg			Taschen Kultbag		Kultbag Tasche Nightlife blau grau Huhn 180099 Online Shop	Tasche mit Becken- und Schultertragegurt von Kultbag aus LKW-Plane mit Aufdruck		2009-09-22 14:26		2-3 Werktage	Kultbag Bernd DÃÂ¶rr Recycling Taschen				
