"id";"title";"description_short";"displayprice";"img_url";"deeplink1";"productcategoryid";"productcategoryname";"color";"lieferzeit";"wichtigsteprodukteigenschaftenaufzahlungspunkt1";"wichtigsteprodukteigenschaftenaufzahlungspunkt2";"wichtigsteprodukteigenschaftenaufzahlungspunkt3";"wichtigsteprodukteigenschaftenaufzahlungspunkt4";"wichtigsteprodukteigenschaftenaufzahlungspunkt5";"availablesizes";"top10ofbrand";"top25";"supplier_sku"
"7F1-fza-0201-03";"7 for all mankind TAFFY Plateausandalette chocolate";"7 for all mankind TAFFY Plateausandalette chocolate: Wow – was für ein Schuh: TAFFY ist das neuste Produkt des Labels 7 all mankind. Jetzt 7 for all mankind Hohe Sandaletten versandkostenfrei bei Zalando bestellen!";"179.00 EUR ";"http://i1.ztat.net/catalog-sale/7/F/7F1-fza-0201-03__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=321&diurl=http://www.zalando.de/7-for-all-mankind-taffy-plateausandalette-chocolate.html?cg=03&ch=03";32660652;"Damenschuhe > Sandaletten > Hohe Sandaletten";"braun";"1-2 Tage";"2,5 cm Plateau | Absatz in Holzoptik";"Obermaterial: Leder";"Innenmaterial: Lederfutter";"Decksohle: Leder";"Sohle: echtes Leder";"40 39 37 38,5 37,5 39,5";"0";"0";""
"7F1-fza-0203-99";"7 for all mankind FARRAN Sandalette cabernet/ navy/ taupe";"7 for all mankind FARRAN Sandalette cabernet/ navy/ taupe : Tricolore extravagant: Sandaletten FARRAN aus dem Hause 7 all mankind überzeugt dank toller Farbkombination und aufwendigem Design. Jetzt 7 for all mankind Sandaletten versandkostenfrei bei Zalando bestellen!";"289.95 EUR ";"http://i2.ztat.net/catalog/7/F/7F1-fza-0203-99__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=321&diurl=http://www.zalando.de/7-for-all-mankind-farran-sandalette-cabernet-navy-taupe.html?cg=03&ch=03";32698288;"Damenschuhe > High Heels > Sandaletten";"mehrfarbig";"1-2 Tage";"extravagenter Trichterabsatz  | Riemchen in  Schlangenleder-Optik";"Obermaterial: Leder";"Innenmaterial: Lederfutter";"Decksohle: Leder";"Sohle: echtes Leder";"40 39 38 39,5 38,5";"0";"0";""
"801-fza-0201-99";"80%20 MOLLY Sandalette grey";"80%20 MOLLY Sandalette grey: Style pur! Die graue Sandalette MOLLY von 80%20 ist ein wahres und einzigartiges Wunderwerk der Schuharchitektur. Jetzt 80%20 Hohe Sandaletten versandkostenfrei bei Zalando bestellen!";"129.95 EUR ";"http://i2.ztat.net/catalog/8/0/801-fza-0201-99__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=321&diurl=http://www.zalando.de/molly-sandalette-grey-801-fza-0201-99.html?cg=03&ch=03";32660652;"Damenschuhe > Sandaletten > Hohe Sandaletten";"grau";"1-2 Tage";"versteckter Keilabsatz | orange-weiß gestreiftes Innenfutter";"Obermaterial: Leder und Textil";"Innenmaterial: Kombination aus Leder und Textilfutter";"Decksohle: Leder-Textil-Kombination";"Sohle: hochwertiger Kunststoff";"39,5 37,5 38,5 40 37";"0";"0";""
"801-fza-0204-99";"80%20 ELLORIE Sandalette charcoal";"80%20 ELLORIE Sandalette charcoal: 100 Prozent Fashion! Die schöne ELLORIE Sandalette von dem New Yorker Label 80%20 ist aus wunderschönen grauen Canvas gefertigt. Jetzt 80%20 Flache Sandaletten versandkostenfrei bei Zalando bestellen!";"99.95 EUR ";"http://i1.ztat.net/catalog/8/0/801-fza-0204-99__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=321&diurl=http://www.zalando.de/8020-ellorie-sandalette-charcoal-801-fza-0204-99.html?cg=03&ch=03";32660662;"Damenschuhe > Sandaletten > Flache Sandaletten";"grau";"1-2 Tage";"gestreiftes Innenfutter | Peeptoe-Look";"Obermaterial: Nylon/Canvas";"Innenmaterial: 100% Polyester";"Decksohle: Textil";"Sohle: hochwertiger Kunststoff";"40 39,5 37 38,5 37,5 39";"0";"0";""
